Name,URL,Country,Cloudflare proxy,Status
exozyme (Official),[https://pximg.exozy.me](https://pximg.exozy.me),US,No,![Status](https://img.shields.io/website?url=https%3A%2F%2Fpximg.exozy.me&label=status)
ducks.party,[https://pixiv.ducks.party](https://pixiv.ducks.party),DE,No,![Status](https://img.shields.io/website?url=https%3A%2F%2Fpixiv.ducks.party&label=status)
cocomi.eu.org,[https://pximg.cocomi.eu.org](https://pximg.cocomi.eu.org),?,Yes,![Status](https://img.shields.io/website?url=https%3A%2F%2Fpximg.cocomi.eu.org&label=status)
suimoe.com,[https://i.suimoe.com](https://i.suimoe.com),?,Yes,![Status](https://img.shields.io/website?url=https%3A%2F%2Fi.suimoe.com&label=status)
yuki.sh,[https://i.yuki.sh](https://i.yuki.sh),?,Yes,![Status](https://img.shields.io/website?url=https%3A%2F%2Fi.yuki.sh&label=status)
obfs.dev,[https://pximg.obfs.dev](https://pximg.obfs.dev),?,Yes,![Status](https://img.shields.io/website?url=https%3A%2F%2Fpximg.obfs.dev&label=status)
darkness.services,[https://pixiv.darkness.services](https://pixiv.darkness.services),US,Yes,![Status](https://img.shields.io/website?url=https%3A%2F%2Fpixiv.darkness.services&label=status)
tatakai.top,[https://pixiv.tatakai.top](https://pixiv.tatakai.top),US,No,![Status](https://img.shields.io/website?url=https%3A%2F%2Fpixiv.tatakai.top&label=status)
169889.xyz,[https://pi.169889.xyz](https://pi.169889.xyz),?,Yes,![Status](https://img.shields.io/website?url=https%3A%2F%2Fpi.169889.xyz&label=status)
pixiv.re,[https://i.pixiv.re](https://i.pixiv.re),?,Yes,![Status](https://img.shields.io/website?url=https%3A%2F%2Fi.pixiv.re&label=status)
